time	Vin	Vbe	Ib
2.790898706132014e-001	2.790899e-001	2.790897e-001	1.367854e-010
2.875999152560586e-001	2.875999e-001	2.875997e-001	1.824893e-010
2.961099598989157e-001	2.961099e-001	2.961097e-001	2.627260e-010
3.046200045417729e-001	3.046200e-001	3.046196e-001	3.774957e-010
3.131300491846299e-001	3.131300e-001	3.131295e-001	5.267982e-010
3.216400938274872e-001	3.216401e-001	3.216394e-001	7.106336e-010
3.301501384703443e-001	3.301501e-001	3.301492e-001	9.290019e-010
3.408923259703443e-001	3.408923e-001	3.408916e-001	7.333418e-010
3.516345134703443e-001	3.516345e-001	3.516332e-001	1.336614e-009
3.623767009703443e-001	3.623767e-001	3.623740e-001	2.738819e-009
3.731188884703443e-001	3.731189e-001	3.731140e-001	4.939957e-009
3.838610759703443e-001	3.838611e-001	3.838531e-001	7.940027e-009
3.946032634703443e-001	3.946033e-001	3.945915e-001	1.173903e-008
4.053454509703443e-001	4.053454e-001	4.053291e-001	1.633697e-008
4.109258081132014e-001	4.109258e-001	4.109064e-001	1.944492e-008
4.165061652560586e-001	4.165062e-001	4.164819e-001	2.424642e-008
4.220865223989157e-001	4.220865e-001	4.220558e-001	3.074147e-008
4.276668795417729e-001	4.276669e-001	4.276280e-001	3.893007e-008
4.332472366846299e-001	4.332472e-001	4.331984e-001	4.881222e-008
4.388275938274871e-001	4.388276e-001	4.387672e-001	6.038792e-008
4.444079509703443e-001	4.444079e-001	4.443343e-001	7.365716e-008
4.483142009703443e-001	4.483142e-001	4.482296e-001	8.462950e-008
4.522204509703443e-001	4.522204e-001	4.521220e-001	9.847392e-008
4.561267009703443e-001	4.561267e-001	4.560115e-001	1.151904e-007
4.600329509703443e-001	4.600329e-001	4.598982e-001	1.347790e-007
4.639392009703443e-001	4.639392e-001	4.637820e-001	1.572396e-007
4.678454509703443e-001	4.678454e-001	4.676629e-001	1.825723e-007
4.717517009703443e-001	4.717517e-001	4.715409e-001	2.107771e-007
4.748208973989157e-001	4.748209e-001	4.745850e-001	2.359123e-007
4.778900938274871e-001	4.778901e-001	4.776247e-001	2.654212e-007
4.809592902560586e-001	4.809593e-001	4.806600e-001	2.993038e-007
4.840284866846299e-001	4.840285e-001	4.836909e-001	3.375601e-007
4.870976831132014e-001	4.870977e-001	4.867175e-001	3.801902e-007
4.901668795417729e-001	4.901669e-001	4.897397e-001	4.271939e-007
4.932360759703443e-001	4.932361e-001	4.927575e-001	4.785715e-007
4.960262545417728e-001	4.960262e-001	4.954960e-001	5.302278e-007
4.988164331132014e-001	4.988164e-001	4.982270e-001	5.893901e-007
5.016066116846299e-001	5.016066e-001	5.009506e-001	6.560581e-007
5.043967902560586e-001	5.043968e-001	5.036666e-001	7.302321e-007
5.071869688274872e-001	5.071870e-001	5.063751e-001	8.119118e-007
5.099771473989156e-001	5.099771e-001	5.090761e-001	9.010974e-007
5.127673259703443e-001	5.127673e-001	5.117695e-001	9.977888e-007
5.152784866846299e-001	5.152785e-001	5.141853e-001	1.093215e-006
5.177896473989156e-001	5.177896e-001	5.165899e-001	1.199814e-006
5.203008081132013e-001	5.203008e-001	5.189832e-001	1.317584e-006
5.228119688274872e-001	5.228120e-001	5.213655e-001	1.446527e-006
5.253231295417729e-001	5.253231e-001	5.237365e-001	1.586643e-006
5.278342902560586e-001	5.278343e-001	5.260964e-001	1.737930e-006
5.303454509703443e-001	5.303454e-001	5.284451e-001	1.900390e-006
5.327171027560586e-001	5.327171e-001	5.306503e-001	2.066762e-006
5.350887545417729e-001	5.350887e-001	5.328395e-001	2.249299e-006
5.374604063274872e-001	5.374604e-001	5.350124e-001	2.448001e-006
5.398320581132013e-001	5.398320e-001	5.371692e-001	2.662868e-006
5.422037098989156e-001	5.422037e-001	5.393098e-001	2.893900e-006
5.445753616846299e-001	5.445754e-001	5.414343e-001	3.141098e-006
5.469470134703443e-001	5.469470e-001	5.435426e-001	3.404460e-006
5.498767009703443e-001	5.498767e-001	5.461166e-001	3.760112e-006
5.528063884703443e-001	5.528064e-001	5.486587e-001	4.147735e-006
5.557360759703443e-001	5.557361e-001	5.511668e-001	4.569262e-006
5.586657634703443e-001	5.586658e-001	5.536392e-001	5.026593e-006
5.615954509703443e-001	5.615954e-001	5.560739e-001	5.521571e-006
5.645251384703443e-001	5.645251e-001	5.584692e-001	6.055961e-006
5.674548259703443e-001	5.674548e-001	5.608234e-001	6.631422e-006
5.703845134703443e-001	5.703845e-001	5.631350e-001	7.249492e-006
5.733142009703443e-001	5.733142e-001	5.654026e-001	7.911560e-006
5.762438884703443e-001	5.762439e-001	5.676250e-001	8.618854e-006
5.791735759703443e-001	5.791736e-001	5.698012e-001	9.372425e-006
5.821032634703443e-001	5.821033e-001	5.719302e-001	1.017314e-005
5.850329509703443e-001	5.850329e-001	5.740113e-001	1.102166e-005
5.879626384703443e-001	5.879626e-001	5.760442e-001	1.191846e-005
5.908923259703443e-001	5.908923e-001	5.780285e-001	1.286381e-005
5.938220134703443e-001	5.938220e-001	5.799642e-001	1.385780e-005
5.967517009703443e-001	5.967517e-001	5.818514e-001	1.490033e-005
5.996813884703443e-001	5.996814e-001	5.836903e-001	1.599112e-005
6.026110759703443e-001	6.026111e-001	5.854813e-001	1.712974e-005
6.055407634703443e-001	6.055408e-001	5.872251e-001	1.831560e-005
6.084704509703443e-001	6.084704e-001	5.889224e-001	1.954801e-005
6.114001384703443e-001	6.114001e-001	5.905740e-001	2.082613e-005
6.143298259703443e-001	6.143298e-001	5.921808e-001	2.214904e-005
6.172595134703443e-001	6.172595e-001	5.937438e-001	2.351573e-005
6.201892009703443e-001	6.201892e-001	5.952641e-001	2.492515e-005
6.231188884703443e-001	6.231189e-001	5.967427e-001	2.637616e-005
6.260485759703443e-001	6.260486e-001	5.981810e-001	2.786761e-005
6.289782634703443e-001	6.289783e-001	5.995799e-001	2.939830e-005
6.319079509703443e-001	6.319079e-001	6.009409e-001	3.096703e-005
6.348376384703443e-001	6.348376e-001	6.022650e-001	3.257260e-005
6.374883081132013e-001	6.374883e-001	6.034302e-001	3.405812e-005
6.401389777560586e-001	6.401390e-001	6.045692e-001	3.556975e-005
6.427896473989156e-001	6.427896e-001	6.056822e-001	3.710749e-005
6.454403170417729e-001	6.454403e-001	6.067690e-001	3.867135e-005
6.480909866846299e-001	6.480910e-001	6.078297e-001	4.026132e-005
6.507416563274872e-001	6.507416e-001	6.088643e-001	4.187739e-005
6.533923259703443e-001	6.533923e-001	6.098728e-001	4.351958e-005
6.564615223989156e-001	6.564615e-001	6.110112e-001	4.545032e-005
6.595307188274872e-001	6.595307e-001	6.121225e-001	4.740824e-005
6.625999152560586e-001	6.625999e-001	6.132066e-001	4.939334e-005
6.656691116846299e-001	6.656691e-001	6.142635e-001	5.140562e-005
6.687383081132013e-001	6.687383e-001	6.152932e-001	5.344507e-005
6.718075045417729e-001	6.718075e-001	6.162958e-001	5.551171e-005
