time	V(n003)	V(n005)	V(n006)	I(R3)	Ib(Q5)
2.496534866846300e-001	2.364128e+001	6.248267e-001	6.233674e-001	3.587159e-004	1.459390e-006
2.531412098989157e-001	2.361786e+001	6.265706e-001	6.250155e-001	3.821415e-004	1.555111e-006
2.566289331132014e-001	2.359290e+001	6.283145e-001	6.266573e-001	4.071057e-004	1.657191e-006
2.601166563274871e-001	2.356639e+001	6.300583e-001	6.282927e-001	4.336085e-004	1.765630e-006
2.636043795417729e-001	2.353835e+001	6.318022e-001	6.299218e-001	4.616499e-004	1.880427e-006
2.670921027560586e-001	2.350877e+001	6.335460e-001	6.315445e-001	4.912299e-004	2.001583e-006
2.705798259703443e-001	2.347765e+001	6.352899e-001	6.331608e-001	5.223486e-004	2.129098e-006
2.769972366846299e-001	2.341659e+001	6.384986e-001	6.361195e-001	5.834103e-004	2.379166e-006
2.834146473989157e-001	2.334751e+001	6.417073e-001	6.390444e-001	6.524889e-004	2.662967e-006
2.898320581132014e-001	2.327041e+001	6.449160e-001	6.419355e-001	7.295844e-004	2.980500e-006
2.962494688274871e-001	2.318530e+001	6.481247e-001	6.447930e-001	8.146968e-004	3.331767e-006
3.026668795417729e-001	2.309217e+001	6.513334e-001	6.476167e-001	9.078261e-004	3.716766e-006
3.090842902560586e-001	2.299103e+001	6.545421e-001	6.504067e-001	1.008972e-003	4.135498e-006
3.155017009703443e-001	2.288186e+001	6.577508e-001	6.531629e-001	1.118136e-003	4.587963e-006
3.255463438274871e-001	2.269102e+001	6.627732e-001	6.573961e-001	1.308976e-003	5.377066e-006
3.355909866846299e-001	2.247189e+001	6.677955e-001	6.615023e-001	1.528105e-003	6.293180e-006
3.456356295417729e-001	2.222448e+001	6.728178e-001	6.654815e-001	1.775524e-003	7.336306e-006
3.556802723989157e-001	2.194877e+001	6.778401e-001	6.693337e-001	2.051231e-003	8.506443e-006
3.657249152560586e-001	2.164477e+001	6.828625e-001	6.730589e-001	2.355227e-003	9.803593e-006
3.757695581132014e-001	2.131249e+001	6.878848e-001	6.766570e-001	2.687511e-003	1.122775e-005
3.858142009703443e-001	2.095192e+001	6.929071e-001	6.801282e-001	3.048085e-003	1.277893e-005
3.925106295417728e-001	2.069387e+001	6.962553e-001	6.823569e-001	3.306134e-003	1.389841e-005
3.992070581132014e-001	2.042452e+001	6.996035e-001	6.845270e-001	3.575484e-003	1.507648e-005
4.059034866846299e-001	2.014387e+001	7.029517e-001	6.866386e-001	3.856134e-003	1.631315e-005
4.125999152560586e-001	1.985192e+001	7.063000e-001	6.886915e-001	4.148083e-003	1.760841e-005
4.192963438274871e-001	1.954867e+001	7.096482e-001	6.906859e-001	4.451332e-003	1.896227e-005
4.259927723989157e-001	1.923412e+001	7.129964e-001	6.926217e-001	4.765882e-003	2.037472e-005
4.326892009703443e-001	1.890827e+001	7.163446e-001	6.944988e-001	5.091731e-003	2.184577e-005
4.370139777560586e-001	1.869311e+001	7.185070e-001	6.956828e-001	5.306894e-003	2.282424e-005
4.413387545417728e-001	1.847452e+001	7.206694e-001	6.968455e-001	5.525484e-003	2.382391e-005
4.456635313274871e-001	1.825250e+001	7.228318e-001	6.979870e-001	5.747500e-003	2.484478e-005
4.499883081132014e-001	1.802706e+001	7.249941e-001	6.991073e-001	5.972941e-003	2.588685e-005
4.543130848989157e-001	1.779819e+001	7.271565e-001	7.002064e-001	6.201809e-003	2.695012e-005
4.586378616846299e-001	1.756590e+001	7.293189e-001	7.012844e-001	6.434103e-003	2.803458e-005
4.629626384703443e-001	1.733018e+001	7.314813e-001	7.023411e-001	6.669823e-003	2.914025e-005
4.663108527560586e-001	1.714583e+001	7.331554e-001	7.031460e-001	6.854170e-003	3.000942e-005
4.696590670417728e-001	1.696000e+001	7.348295e-001	7.039399e-001	7.040001e-003	3.088963e-005
4.730072813274871e-001	1.677269e+001	7.365036e-001	7.047228e-001	7.227315e-003	3.178086e-005
4.763554956132014e-001	1.658389e+001	7.381777e-001	7.054946e-001	7.416111e-003	3.268312e-005
4.797037098989157e-001	1.639361e+001	7.398518e-001	7.062554e-001	7.606391e-003	3.359642e-005
4.830519241846299e-001	1.620185e+001	7.415260e-001	7.070052e-001	7.798154e-003	3.452074e-005
4.864001384703443e-001	1.600860e+001	7.432001e-001	7.077440e-001	7.991400e-003	3.545610e-005
4.891903170417728e-001	1.584666e+001	7.445952e-001	7.083519e-001	8.153342e-003	3.624329e-005
4.919804956132014e-001	1.568397e+001	7.459902e-001	7.089530e-001	8.316027e-003	3.703725e-005
4.947706741846299e-001	1.552055e+001	7.473853e-001	7.095474e-001	8.479454e-003	3.783795e-005
4.975608527560586e-001	1.535638e+001	7.487804e-001	7.101350e-001	8.643623e-003	3.864542e-005
5.003510313274872e-001	1.519147e+001	7.501755e-001	7.107159e-001	8.808534e-003	3.945963e-005
5.031412098989156e-001	1.502581e+001	7.515706e-001	7.112900e-001	8.974188e-003	4.028060e-005
5.059313884703443e-001	1.485942e+001	7.529657e-001	7.118574e-001	9.140584e-003	4.110833e-005
5.085820581132013e-001	1.470078e+001	7.542910e-001	7.123905e-001	9.299221e-003	4.190053e-005
5.112327277560586e-001	1.454167e+001	7.556164e-001	7.129183e-001	9.458326e-003	4.269815e-005
5.138833973989156e-001	1.438210e+001	7.569417e-001	7.134405e-001	9.617900e-003	4.350120e-005
5.165340670417729e-001	1.422206e+001	7.582670e-001	7.139574e-001	9.777943e-003	4.430969e-005
5.191847366846299e-001	1.406155e+001	7.595924e-001	7.144688e-001	9.938453e-003	4.512360e-005
5.218354063274872e-001	1.390057e+001	7.609177e-001	7.149748e-001	1.009943e-002	4.594294e-005
5.244860759703443e-001	1.373912e+001	7.622430e-001	7.154753e-001	1.026088e-002	4.676771e-005
5.269972366846299e-001	1.358583e+001	7.634986e-001	7.159449e-001	1.041417e-002	4.755377e-005
5.295083973989156e-001	1.343227e+001	7.647542e-001	7.164100e-001	1.056773e-002	4.834418e-005
5.320195581132013e-001	1.327844e+001	7.660098e-001	7.168708e-001	1.072156e-002	4.913896e-005
5.345307188274872e-001	1.312433e+001	7.672654e-001	7.173273e-001	1.087567e-002	4.993810e-005
5.370418795417729e-001	1.296995e+001	7.685209e-001	7.177794e-001	1.103005e-002	5.074159e-005
5.395530402560586e-001	1.281530e+001	7.697765e-001	7.182271e-001	1.118470e-002	5.154944e-005
5.420642009703443e-001	1.266038e+001	7.710321e-001	7.186704e-001	1.133962e-002	5.236166e-005
5.449938884703443e-001	1.247943e+001	7.724969e-001	7.191827e-001	1.152058e-002	5.331426e-005
5.479235759703443e-001	1.229822e+001	7.739618e-001	7.196894e-001	1.170178e-002	5.427239e-005
5.508532634703443e-001	1.211678e+001	7.754266e-001	7.201907e-001	1.188322e-002	5.523593e-005
5.537829509703443e-001	1.193514e+001	7.768915e-001	7.206867e-001	1.206486e-002	5.620481e-005
5.567126384703443e-001	1.175331e+001	7.783563e-001	7.211775e-001	1.224669e-002	5.717891e-005
5.596423259703443e-001	1.157134e+001	7.798212e-001	7.216630e-001	1.242866e-002	5.815816e-005
5.625720134703443e-001	1.138923e+001	7.812860e-001	7.221436e-001	1.261077e-002	5.914244e-005
5.655017009703443e-001	1.120702e+001	7.827508e-001	7.226192e-001	1.279298e-002	6.013169e-005
5.684313884703443e-001	1.102472e+001	7.842157e-001	7.230899e-001	1.297528e-002	6.112581e-005
5.713610759703443e-001	1.084236e+001	7.856805e-001	7.235558e-001	1.315764e-002	6.212473e-005
5.742907634703443e-001	1.065995e+001	7.871454e-001	7.240170e-001	1.334005e-002	6.312835e-005
5.772204509703443e-001	1.047752e+001	7.886102e-001	7.244737e-001	1.352248e-002	6.413658e-005
5.801501384703443e-001	1.029509e+001	7.900751e-001	7.249257e-001	1.370491e-002	6.514936e-005
5.830798259703443e-001	1.011268e+001	7.915399e-001	7.253733e-001	1.388732e-002	6.616661e-005
5.860095134703443e-001	9.930300e+000	7.930048e-001	7.258165e-001	1.406970e-002	6.718824e-005
5.889392009703443e-001	9.747974e+000	7.944696e-001	7.262554e-001	1.425203e-002	6.821418e-005
5.918688884703443e-001	9.565720e+000	7.959344e-001	7.266901e-001	1.443428e-002	6.924437e-005
